smiles,pchembl_value
Cc1cccc(Nc2nc(NC3CNC3)ncc2C(N)=O)c1,5.8
CNCc1cc(C)c(C)cc1Oc1ccc(Cl)c(Cl)c1,5.83
C#Cc1nc(-c2cc(C(O)c3nccs3)ccc2F)c2ccc(N3CCOCC3)cc2n1,4.9
Cl.O=C(N1CCN2CCC1CC2)n1nc(-n2cc(C(F)(F)F)cn2)c2c1COCC2,5.39
COc1nc2ccc(C(=O)N(C)C)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,5.2
COc1cccc(N2CCN(Cc3nc4c5cccc(OC)c5nc(N)n4n3)[C@H](C)C2)c1,4.68
FC1CN(C2COC2)CCC1c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl,4.85
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3,5.0
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(C#N)cc4)oc3C)c2)cc1,4.28
COc1ccc(Br)cc1CCc1c(Cl)cccc1C1=NCCN1,6.08
CC(=O)C1=NN2c3cc(Cl)ccc3OC[C@H]2C1(CCCN1CCOCC1)c1ccccc1,5.48
CCOC(=O)Nc1cccc([C@@H](c2ccc(C(=O)N(CC)CC)cc2)N2CCN(Cc3cscn3)CC2)c1,5.27
Cc1nsc(N2CCC3(CCN(C[C@H](O)c4ccc5c(c4C)COC5=O)CC3)C2)n1,5.38
CCCn1c(NCCCN)nc2c([N+](=O)[O-])c(Br)c(Br)cc21,5.73
NCCCCN(Cc1nccc2c3ccccc3n(CC(N)=O)c12)[C@H]1CCCc2cccnc21,5.75
O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2ccccc2Cl)c1Br,5.21
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(-c7cc(C)nn7C)oc6cc5CC4)n3C)cccc2n1,6.3
COC(=O)c1ccc(-c2ccn3c(CC4CC4(F)F)nnc3c2Cl)c(Cl)c1,4.97
COc1cccnc1C(=O)N1CCN(c2ccc(NC(=O)C(C)(C)c3ccccc3)cc2Cl)CC1.Cl,4.3
CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CCC(=O)N1CCCCCCC(=O)O,4.54
C[C@H]1OC(=O)[C@]2(CC(N)=O)CC(F)(F)[C@@H](C)[C@H](/C=C/c3ccc(-c4cccnc4C#N)cn3)[C@H]12,4.66
CC1(CN)CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,5.77
N[C@@H]1c2cnccc2CC12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,6.3
OCC1(NCCCC2CCc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc32)CCCC1,6.28
COC(=O)C(CCC(=O)N1CCN(c2ccccc2OC)CC1)(c1ccc(Br)cc1)C(C)C,4.78
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCNC(=O)Oc5ccccc5)c4)n[nH]c2-3)CC1,5.56
O=C(Nc1ccccc1)N(c1ccc(Br)cc1)C1CCN(C2CCCC2)CC1,6.73
C1=C(c2ccc(OCCCN3CCCCC3)cc2)CCC1,6.64
